ID,Transportasi Umum,Kemudahan Akses Jalan,Kedekatan dengan Pusat Kota,Biaya Tanah,Biaya Operasional,Biaya Perawatan,Keamanan,Kebersihan,Kenyamanan,Total Weight
1,9,6,7,9,7,2,7,9,9,7.7570
2,9,6,7,9,7,2,7,9,9,7.7570
3,1,3,5,2,9,4,7,2,6,3.7170
4,6,8,7,9,3,3,8,9,8,6.9365
5,7,7,6,8,6,5,8,6,1,6.8770
6,6,1,2,2,4,5,1,7,6,3.5430
7,5,9,7,4,4,3,2,2,2,4.3150
8,3,4,4,8,9,2,1,4,2,4.4000
9,5,1,2,1,2,8,6,9,8,4.0150
10,6,8,9,7,4,6,1,2,7,5.3120
11,1,3,9,3,8,1,7,9,7,4.2925
12,1,5,2,8,8,6,2,1,9,4.1705
13,1,6,5,4,6,5,6,3,4,3.9715
14,1,7,8,9,6,1,1,5,7,4.4015
15,7,9,7,5,6,4,8,6,3,6.5215
16,1,7,5,1,2,6,7,6,8,3.5630
17,4,9,8,6,8,5,3,9,2,5.5710
18,9,2,6,3,6,9,1,8,3,5.1730
19,4,6,9,5,6,4,7,6,6,5.4890
20,5,8,3,9,3,6,5,5,8,5.9140
21,2,7,4,3,6,6,5,5,1,3.9875
22,5,7,3,4,8,6,8,9,6,5.9895
23,4,1,2,6,5,3,8,7,1,4.8120
24,1,6,7,9,3,1,6,3,4,4.5645
25,7,1,3,6,5,7,7,3,6,5.5935
26,8,1,4,9,8,8,7,4,4,6.8510
27,5,9,1,8,1,7,6,1,5,5.3990
28,8,5,4,3,7,1,6,6,8,5.6500
29,6,9,1,2,4,9,7,6,1,5.1945
30,3,4,7,7,9,7,7,5,7,5.7720
31,5,6,3,9,9,2,7,5,8,6.4680
32,6,1,9,6,6,3,6,1,3,5.1595
33,9,4,6,7,4,7,6,8,3,6.6665
34,8,3,1,9,9,4,8,9,1,7.1565
35,9,9,4,1,2,4,3,1,5,4.6535
36,4,3,5,2,1,5,3,1,9,3.1165
37,7,2,8,8,5,7,5,8,5,6.2570
38,5,6,5,5,4,1,4,1,3,4.3420
39,8,2,7,4,1,7,6,2,8,5.1725
40,2,2,6,2,1,4,3,1,4,2.3535
41,2,9,5,6,5,5,8,8,2,5.3575
42,1,5,3,2,1,5,9,3,9,3.5145
43,9,5,4,7,1,6,8,1,3,6.2315
44,4,3,8,8,2,7,4,2,7,4.8170
45,1,6,7,3,1,5,3,8,6,3.2205
46,3,7,8,2,9,4,5,4,7,4.5690
47,4,3,5,9,9,7,6,5,9,6.1405
48,3,8,6,6,8,9,3,1,3,4.8890
49,6,2,2,5,7,5,8,9,3,5.7005
50,2,3,8,6,3,5,9,6,1,4.7640
51,5,2,7,3,9,4,3,7,6,4.5980
52,4,1,6,1,9,9,8,1,8,4.5715
53,1,6,7,6,2,2,1,8,5,3.4185
54,3,9,4,6,7,4,2,1,1,4.3160
55,1,6,5,8,6,3,5,8,9,4.9465
56,8,4,8,9,6,6,7,8,5,7.2780
57,1,5,6,3,6,2,1,7,4,2.9985
58,7,5,6,6,5,2,1,7,6,5.1155
59,8,1,4,4,7,2,8,6,2,5.6755
60,3,7,9,4,1,7,9,5,9,5.1185
61,9,7,2,8,1,6,5,4,4,6.2340
62,2,2,1,9,4,3,9,6,9,5.1780
63,6,2,5,8,1,3,7,7,3,5.4585
64,1,1,4,1,8,1,6,4,2,2.8695
65,4,3,7,8,7,2,7,3,7,5.5765
66,3,8,3,2,9,2,7,4,4,4.5580
67,4,7,3,4,3,6,7,6,4,4.8270
68,9,6,7,7,7,1,3,5,9,6.4290
69,5,5,7,1,6,4,9,9,9,5.3505
70,8,2,2,2,2,6,2,1,7,3.8485
71,1,9,3,3,5,3,1,9,3,3.2550
72,7,2,8,3,6,9,3,9,7,5.2515
73,9,9,5,7,6,7,6,5,3,7.1090
74,2,7,2,1,9,9,7,8,6,4.5915
75,6,1,6,8,2,2,4,9,9,5.2745
76,1,3,9,4,2,2,1,3,8,2.6420
77,9,6,8,6,5,3,3,5,6,6.0825
78,5,3,2,3,1,4,2,2,7,3.2180
79,6,8,7,6,7,6,1,9,1,5.5435
80,1,6,2,1,7,3,6,4,1,3.2000
81,8,6,8,8,7,2,9,7,8,7.5255
82,7,3,1,5,9,9,2,7,7,5.4335
83,6,6,7,2,2,1,9,5,6,5.0290
84,9,3,8,3,2,6,8,6,2,5.8005
85,6,1,9,2,8,1,7,9,2,5.0590
86,1,4,8,1,9,5,6,3,4,3.6375
87,9,5,9,7,2,5,3,6,4,6.0290
88,2,6,9,3,1,8,9,2,5,4.3235
89,8,2,8,7,6,8,6,6,4,6.4855
90,3,7,7,3,9,9,6,6,3,5.1230
91,7,6,3,3,9,8,4,5,8,5.5975
92,1,9,6,3,9,2,4,3,6,3.9885
93,2,3,7,6,9,2,3,2,6,4.1230
94,2,6,4,4,7,5,3,8,2,4.0250
95,1,4,8,3,5,9,1,8,3,3.2715
96,3,3,7,4,2,4,6,8,4,4.1440
97,2,5,5,5,6,3,3,1,8,3.7585
98,1,1,4,7,2,3,9,5,5,4.1905
99,6,5,9,2,5,2,8,1,8,5.0540
100,6,6,9,7,9,1,8,6,4,6.6680
